"KEGG Organisms: Complete Genomes"
"Eukaryotes: 542   Bacteria: 6047   Archaea: 338"
"Vertebrates                 lsr   Lonchura striata domestica (Bengalese finch)        RefSeq"
"scan Serinus canaria (common canary)                       RefSeq"
"gfr   Geospiza fortis (medium ground-finch)               RefSeq"
"fab   Ficedula albicollis (collared flycatcher)           RefSeq"
"phi   Pseudopodoces humilis (Tibetan ground-tit)          RefSeq"
"Birds"
"pmaj Parus major (Great Tit)                               RefSeq"
"ccae Cyanistes caeruleus (blue tit)                        RefSeq"
"ccw    Corvus cornix (hooded crow)                         RefSeq"
"etl   Empidonax traillii (willow flycatcher)              RefSeq"
"fpg   Falco peregrinus (peregrine falcon)                 RefSeq"
"fch   Falco cherrug (Saker falcon)                        RefSeq"
"clv   Columba livia (rock pigeon)                         RefSeq"
"egz    Egretta garzetta (little egret)                     RefSeq"
"nni   Nipponia nippon (crested ibis)                      RefSeq"
"acun Athene cunicularia (burrowing owl)                    RefSeq"
"padl Pygoscelis adeliae (Adelie penguin)                   RefSeq"
"aam Apteryx mantelli mantelli (brown kiwi)                 RefSeq"
"asn    Alligator sinensis (Chinese alligator)              RefSeq"
"amj    Alligator mississippiensis (American alligator)     RefSeq"
"pss    Pelodiscus sinensis (Chinese soft-shelled turtle)   RefSeq"
"cmy Chelonia mydas (green sea turtle)                      RefSeq"
"cpic Chrysemys picta (western painted turtle)              RefSeq"
"acs    Anolis carolinensis (green anole)                   RefSeq"
"Reptiles"
"pvt   Pogona vitticeps (central bearded dragon)           RefSeq"
"pbi   Python bivittatus (Burmese python)                  RefSeq"
"pmur Protobothrops mucrosquamatus (Taiwan habu)            RefSeq"
"tsr   Thamnophis sirtalis                                 RefSeq"
"pmua Podarcis muralis (common wall lizard)                 RefSeq"
"gja   Gekko japonicus                                     RefSeq"
"xla   Xenopus laevis (African clawed frog)                RefSeq"
"Amphibians    xtr   Xenopus tropicalis (western clawed frog)            RefSeq"
"npr   Nanorana parkeri                                    RefSeq"
"dre   Danio rerio (zebrafish)                             RefSeq"
"srx   Sinocyclocheilus rhinocerous                        RefSeq"
"sanh Sinocyclocheilus anshuiensis                          RefSeq"
"sgh    Sinocyclocheilus grahami                            RefSeq"
"ccar Cyprinus carpio (common carp)                         RefSeq"
"ipu   Ictalurus punctatus (channel catfish)               RefSeq"
""
"phyp Pangasianodon hypophthalmus (striped catfish)         RefSeq"
""
"amex Astyanax mexicanus (Mexican tetra)                    RefSeq"
"eee    Electrophorus electricus (electric eel)             RefSeq"
"tru   Takifugu rubripes (torafugu)                        RefSeq"
"tng   Tetraodon nigroviridis (spotted green pufferfish)   GenBank"
"lco   Larimichthys crocea (large yellow croaker)          RefSeq"
"ncc    Notothenia coriiceps (black rockcod)                RefSeq"
"mze Maylandia zebra (zebra mbuna)                          RefSeq"
"onl   Oreochromis niloticus (Nile tilapia)                RefSeq"
"ola   Oryzias latipes (Japanese medaka)                   RefSeq"
"xma Xiphophorus maculatus (southern platyfish)             RefSeq"
"xco    Xiphophorus couchianus (Monterrey platyfish)        RefSeq"
"pret   Poecilia reticulata (guppy)                         RefSeq"
"cvg    Cyprinodon variegatus (sheepshead minnow)           RefSeq"
"Fishes"
"Animals                               nfu   Nothobranchius furzeri (turquoise killifish)        RefSeq"
"kmr    Kryptolebias marmoratus (mangrove rivulus)          RefSeq"
"alim Austrofundulus limnaeus (annual killifish)            RefSeq"
"aoce Amphiprion ocellaris (clown anemonefish)              RefSeq"
"                                       csem Cynoglossus semilaevis (tongue sole)                  RefSeq"
"pov    Paralichthys olivaceus (Japanese flounder)          RefSeq"
"lcf   Lates calcarifer (barramundi perch)                 RefSeq"
"sdu    Seriola dumerili (greater amberjack)                RefSeq"
"slal   Seriola lalandi dorsalis (Yellowtail amberjack)     RefSeq"
"hcq    Hippocampus comes (tiger tail seahorse)             RefSeq"
"Boleophthalmus pectinirostris (great blue-spotted"
"bpec                                                       RefSeq"
"mudskipper)"
"malb Monopterus albus (swamp eel)                          RefSeq"
"sasa Salmo salar (Atlantic salmon)                         RefSeq"
"otw    Oncorhynchus tshawytscha (Chinook salmon)           RefSeq"
"salp Salvelinus alpinus (Arctic char)                      RefSeq"
"els   Esox lucius (northern pike)                         RefSeq"
"sfm    Scleropages formosus (Asian bonytongue)             RefSeq"
"pki   Paramormyrops kingsleyae                            RefSeq"
"lcm    Latimeria chalumnae (coelacanth)                    RefSeq"
"cmk Callorhinchus milii (elephant shark)                   RefSeq"
"Cartilaginous fishes"
"rtp   Rhincodon typus (whale shark)                       RefSeq"
"Lancelets                               bfo   Branchiostoma floridae (Florida lancelet)           RefSeq"
"Ascidians                               cin   Ciona intestinalis (sea squirt)                     RefSeq"
"spu    Strongylocentrotus purpuratus (purple sea urchin)   RefSeq"
"Echinoderms"
"aplc Acanthaster planci (crown-of-thorns starfish)         RefSeq"
"Hemichordates                          sko    Saccoglossus kowalevskii (acorn worm)               RefSeq"
"dme Drosophila melanogaster (fruit fly)                    RefSeq"
"der   Drosophila erecta                                   RefSeq"
"dse    Drosophila sechellia                                RefSeq"
"dsi   Drosophila simulans                                 RefSeq"
"dya    Drosophila yakuba                                   RefSeq"
"dan    Drosophila ananassae                                RefSeq"
"dsr   Drosophila serrata                                  RefSeq"
"dpo    Drosophila pseudoobscura pseudoobscura              RefSeq"
"dpe    Drosophila persimilis                               RefSeq"
"dmn Drosophila miranda                                     RefSeq"
"dwi    Drosophila willistoni                               RefSeq"
"dgr   Drosophila grimshawi                                RefSeq"
"dmo Drosophila mojavensis                                  RefSeq"
"daz    Drosophila arizonae                                 RefSeq"
"dnv    Drosophila navojoa                                  RefSeq"
"dhe    Drosophila hydei                                    RefSeq"
"dvi   Drosophila virilis                                  RefSeq"
"mde Musca domestica (house fly)                            RefSeq"
"lcq   Lucilia cuprina (Australian sheep blowfly)          RefSeq"
"aga    Anopheles gambiae (mosquito)                        RefSeq"
"aag    Aedes aegypti (yellow fever mosquito)               RefSeq"
"aalb Aedes albopictus (Asian tiger mosquito)               RefSeq"
"cqu    Culex quinquefasciatus (southern house mosquito)    RefSeq"
"ame Apis mellifera (honey bee)                             RefSeq"
"bim    Bombus impatiens (common eastern bumble bee)        RefSeq"
"bter   Bombus terrestris (buff-tailed bumblebee)           RefSeq"
"ccal Ceratina calcarata (carpenter bee)                    RefSeq"
"obb    Osmia bicornis bicornis                             RefSeq"
"soc    Solenopsis invicta (red fire ant)                   RefSeq"
"mpha Monomorium pharaonis (pharaoh ant)                    RefSeq"
"aec    Acromyrmex echinatior (Panamanian leafcutter ant)   RefSeq"
"acep Atta cephalotes (leaf cutting ant)                    RefSeq"
"Insects                pbar Pogonomyrmex barbatus (red harvester ant)             RefSeq"
"vem Vollenhovia emeryi                                     RefSeq"
"hst   Harpegnathos saltator (Jerdon's jumping ant)        RefSeq"
"dqu    Dinoponera quadriceps                               RefSeq"
"Arthropods"
"cfo   Camponotus floridanus (Florida carpenter ant)       RefSeq"
"lhu   Linepithema humile (Argentine ant)                  RefSeq"
"pgc    Pseudomyrmex gracilis                               RefSeq"
"obo    Ooceraea biroi (clonal raider ant)                  RefSeq"
"pcf   Polistes canadensis                                 RefSeq"
"nvi   Nasonia vitripennis (jewel wasp)                    RefSeq"
"csol Ceratosolen solmsi marchali                           RefSeq"
"mdl    Microplitis demolitor                               RefSeq"
"tca   Tribolium castaneum (red flour beetle)              RefSeq"
"dpa    Dendroctonus ponderosae (mountain pine beetle)      RefSeq"
"atd   Aethina tumida (small hive beetle)                  RefSeq"
"                                 nvl   Nicrophorus vespilloides                               RefSeq"
"bmor Bombyx mori (domestic silkworm)                          RefSeq"
"bman Bombyx mandarina (wild silkworm)                         RefSeq"
"dpl   Danaus plexippus (monarch butterfly)                  GenBank"
"pmac Papilio machaon (common yellow swallowtail)              RefSeq"
"prap Pieris rapae (cabbage white)                             RefSeq"
"haw Helicoverpa armigera (cotton bollworm)                    RefSeq"
"tnl   Trichoplusia ni (cabbage looper)                       RefSeq"
"pxy    Plutella xylostella (diamondback moth)                 RefSeq"
"api   Acyrthosiphon pisum (pea aphid)                        RefSeq"
"dnx    Diuraphis noxia (Russian wheat aphid)                  RefSeq"
"ags    Aphis gossypii (cotton aphid)                          RefSeq"
"rmd    Rhopalosiphum maidis (corn leaf aphid)                 RefSeq"
"btab Bemisia tabaci (sweet potato whitefly)                   RefSeq"
"clec Cimex lectularius (bed bug)                              RefSeq"
"phu    Pediculus humanus corporis (human body louse)          RefSeq"
"zne    Zootermopsis nevadensis                                RefSeq"
"fcd   Folsomia candida                                       RefSeq"
"dpx    Daphnia pulex (common water flea)                     GenBank"
"Crustaceans"
"pvm Penaeus vannamei (Pacific white shrimp)                   RefSeq"
"isc   Ixodes scapularis (black-legged tick)                 GenBank"
"tut   Tetranychus urticae (two-spotted spider mite)          RefSeq"
"Chelicerates     dpte Dermatophagoides pteronyssinus (European house dust mite) RefSeq"
"cscu Centruroides sculpturatus (bark scorpion)                RefSeq"
"ptep Parasteatoda tepidariorum (common house spider)          RefSeq"
"cel   Caenorhabditis elegans (nematode)                      RefSeq"
"cbr   Caenorhabditis briggsae                                RefSeq"
"bmy Brugia malayi (filaria)                                   RefSeq"
"Nematodes                        loa   Loa loa (eye worm)                                     RefSeq"
"nai   Necator americanus                                     RefSeq"
""
"tsp   Trichinella spiralis                                   RefSeq"
"Annelids                         hro   Helobdella robusta                                     RefSeq"
"lgi   Lottia gigantea (owl limpet)                           RefSeq"
"pcan Pomacea canaliculata (golden apple snail)                RefSeq"
"Mollusks                         crg   Crassostrea gigas (Pacific oyster)                     RefSeq"
"myi    Mizuhopecten yessoensis (Yesso scallop)                RefSeq"
"obi   Octopus bimaculoides                                   RefSeq"
"Brachiopodas                     lak   Lingula anatina                                        RefSeq"
"smm Schistosoma mansoni                                       RefSeq"
"shx    Schistosoma haematobium                                RefSeq"
"Flatworms"
"ovi   Opisthorchis viverrini                                 RefSeq"
"egl   Echinococcus granulosus                                RefSeq"
"nve    Nematostella vectensis (starlet sea anemone)           RefSeq"
"epa    Exaiptasia diaphana                                    RefSeq"
"adf   Acropora digitifera (stony coral)                      RefSeq"
"amil Acropora millepora                                       RefSeq"
"Cnidarians"
"pdam Pocillopora damicornis (lace coral)                      RefSeq"
"spis Stylophora pistillata                                    RefSeq"
"dgt   Dendronephthya gigantea (soft corals)                  RefSeq"
"hmg Hydra vulgaris                                            RefSeq"
"Placozoans                       tad   Trichoplax adhaerens                                   RefSeq"
"Poriferans                      aqu    Amphimedon queenslandica (sponge)                      RefSeq"
"ath   Arabidopsis thaliana (thale cress)                     RefSeq"
"aly   Arabidopsis lyrata (lyrate rockcress)                  RefSeq"
"crb   Capsella rubella                                       RefSeq"
"csat Camelina sativa (false flax)                             RefSeq"
"Mustard family   eus    Eutrema salsugineum                                    RefSeq"
"brp   Brassica rapa (field mustard)                          RefSeq"
"bna    Brassica napus (rape)                                  RefSeq"
"boe    Brassica oleracea (wild cabbage)                       RefSeq"
"rsz   Raphanus sativus (radish)                              RefSeq"
"Caper family      thj   Tarenaya hassleriana (spider flower)                   RefSeq"
"Papaya family    cpap Carica papaya (papaya)                                   RefSeq"
"cit   Citrus sinensis (Valencia orange)                      RefSeq"
"Rue family"
"cic   Citrus clementina (mandarin orange)                    RefSeq"
"tcc   Theobroma cacao (cacao)                                RefSeq"
"gra   Gossypium raimondii                                    RefSeq"
"ghi   Gossypium hirsutum (upland cotton)                     RefSeq"
"Mallow family"
"gab    Gossypium arboreum                                     RefSeq"
"                                            dzi    Durio zibethinus (durian)                        RefSeq"
"Myrtle family           egr    Eucalyptus grandis (rose gum)                    RefSeq"
"gmx Glycine max (soybean)                                RefSeq"
"gsj    Glycine soja (wild soybean)                      RefSeq"
"pvu    Phaseolus vulgaris (common bean)                 RefSeq"
"vra    Vigna radiata (mung bean)                        RefSeq"
"var    Vigna angularis (adzuki bean)                    RefSeq"
"vun    Vigna unguiculata (cowpea)                       RefSeq"
"Pea family             ccaj Cajanus cajan (pigeon pea)                          RefSeq"
"mtr    Medicago truncatula (barrel medic)               GenBank"
"cam Cicer arietinum (chickpea)                           RefSeq"
"lja    Lotus japonicus                                  Kazusa"
"adu    Arachis duranensis                               RefSeq"
"aip    Arachis ipaensis                                 RefSeq"
"lang Lupinus angustifolius (narrow-leaved blue lupine)   RefSeq"
"fve    Fragaria vesca (woodland strawberry)             RefSeq"
"rcn    Rosa chinensis (China rose)                      RefSeq"
"pper Prunus persica (peach)                              RefSeq"
"Rose family            pmum Prunus mume (Japanese apricot)                      RefSeq"
"pavi Prunus avium (sweet cherry)                         RefSeq"
"Eudicots                          mdm Malus domestica (apple)                              RefSeq"
"pxb    Pyrus x bretschneideri (Chinese white pear)      RefSeq"
"Buckthorn family        zju    Ziziphus jujuba (Chinese jujube)                 RefSeq"
"csv    Cucumis sativus (cucumber)                       RefSeq"
"cmo Cucumis melo (muskmelon)                             RefSeq"
"mcha Momordica charantia (bitter melon)                  RefSeq"
"Cucumber family"
"cmax Cucurbita maxima (winter squash)                    RefSeq"
"cmos Cucurbita moschata (crookneck pumpkin)              RefSeq"
"cpep Cucurbita pepo subsp. pepo (vegetable marrow)       RefSeq"
"rcu    Ricinus communis (castor bean)                   RefSeq"
"jcu    Jatropha curcas                                  RefSeq"
"Spurge family"
"hbr    Hevea brasiliensis (rubber tree)                 RefSeq"
"mesc Manihot esculenta (cassava)                         RefSeq"
"pop    Populus trichocarpa (black cottonwood)           RefSeq"
"Willow family"
"peu    Populus euphratica (Euphrates poplar)            RefSeq"
"Walnut family           jre    Juglans regia (English walnut)                   RefSeq"
"Plants"
"Beech family            qsu    Quercus suber (cork oak)                         RefSeq"
"Grape family            vvi    Vitis vinifera (wine grape)                      RefSeq"
"sly    Solanum lycopersicum (tomato)                    RefSeq"
"spen Solanum pennellii                                   RefSeq"
"sot    Solanum tuberosum (potato)                       RefSeq"
"cann Capsicum annuum                                     RefSeq"
"Nightshade family"
"nta    Nicotiana tabacum (common tobacco)               RefSeq"
"nsy    Nicotiana sylvestris                             RefSeq"
"nto    Nicotiana tomentosiformis                        RefSeq"
"nau    Nicotiana attenuata                              RefSeq"
"Morning-glory family    ini    Ipomoea nil (Japanese morning glory)             RefSeq"
"Sesame family          sind Sesamum indicum (sesame)                            RefSeq"
"Olive family            oeu    Olea europaea var. sylvestris (wild olive)       RefSeq"
"han    Helianthus annuus (common sunflower)             RefSeq"
"Daisy family            lsv    Lactuca sativa (garden lettuce)                  RefSeq"
"ccav Cynara cardunculus var. scolymus (artichoke)        RefSeq"
"Parsley family          dcr    Daucus carota (carrot)                           RefSeq"
"bvg    Beta vulgaris (sugar beet)                       RefSeq"
"Amaranth family         soe    Spinacia oleracea (spinach)                      RefSeq"
"cqi    Chenopodium quinoa (quinoa)                      RefSeq"
"Lotus family            nnu    Nelumbo nucifera (sacred lotus)                  RefSeq"
"Poppy family           psom Papaver somniferum (opium poppy)                    RefSeq"
"osa    Oryza sativa japonica (Japanese rice) (RefSeq)   RefSeq"
"dosa Oryza sativa japonica (Japanese rice) (RAPDB)       RAP-DB"
"obr    Oryza brachyantha (malo sina)                    RefSeq"
"bdi    Brachypodium distachyon                          RefSeq"
"Grass family"
"ats    Aegilops tauschii (wheat D)                      RefSeq"
"sbi    Sorghum bicolor (sorghum)                        RefSeq"
"zma Zea mays (maize)                                     RefSeq"
"Monocots                           sita   Setaria italica (foxtail millet)                 RefSeq"
"pda    Phoenix dactylifera (date palm)                  RefSeq"
"Palm family"
"egu    Elaeis guineensis (African oil palm)             RefSeq"
"Banana family          mus Musa acuminata (wild Malaysian banana)               RefSeq"
"                                       dct    Dendrobium catenatum                       RefSeq"
"Orchid family"
"peq    Phalaenopsis equestris                     RefSeq"
"Asparagus family   aof    Asparagus officinalis (garden asparagus)   RefSeq"
"Basal Magnoliophyta Amborella family   atr    Amborella trichopoda                       RefSeq"
"Ferns                                  smo Selaginella moellendorffii                    RefSeq"
"Mosses                                 ppp    Physcomitrium patens                       RefSeq"
"cre    Chlamydomonas reinhardtii                  RefSeq"
"vcn    Volvox carteri f. nagariensis              RefSeq"
"mng Monoraphidium neglectum                       RefSeq"
"csl    Coccomyxa subellipsoidea                   RefSeq"
"cvr    Chlorella variabilis                       RefSeq"
"Green algae                            apro Auxenochlorella protothecoides               RefSeq"
"olu    Ostreococcus lucimarinus                   RefSeq"
"ota    Ostreococcus tauri                         RefSeq"
"bpg    Bathycoccus prasinos                       RefSeq"
"mis    Micromonas commoda                         RefSeq"
"mpp Micromonas pusilla                            RefSeq"
"cme Cyanidioschyzon merolae                       RefSeq"
"Red algae                              gsl    Galdieria sulphuraria                      RefSeq"
"ccp    Chondrus crispus (carragheen)              RefSeq"
"sce    Saccharomyces cerevisiae (budding yeast)   RefSeq"
"ago    Ashbya gossypii (Eremothecium gossypii)    RefSeq"
"erc    Eremothecium cymbalariae                   RefSeq"
"kla    Kluyveromyces lactis                       RefSeq"
""
"kmx Kluyveromyces marxianus                       RefSeq"
"lth   Lachancea thermotolerans                   RefSeq"
"vpo    Vanderwaltozyma polyspora                  RefSeq"
"zro    Zygosaccharomyces rouxii                   RefSeq"
"cgr    Candida glabrata                           RefSeq"
"ncs    Naumovozyma castellii                      RefSeq"
"ndi    Naumovozyma dairenensis                    RefSeq"
"tpf   Tetrapisispora phaffii                     RefSeq"
"tbl   Tetrapisispora blattae                     RefSeq"
"tdl   Torulaspora delbrueckii                    RefSeq"
"kaf    Kazachstania africana                      RefSeq"
""
"Saccharomycetes    ppa    Komagataella phaffii                       RefSeq"
"dha    Debaryomyces hansenii                      RefSeq"
"pic    Scheffersomyces stipitis                   RefSeq"
"pgu    Meyerozyma guilliermondii                  RefSeq"
"spaa Spathaspora passalidarum                     RefSeq"
"lel   Lodderomyces elongisporus                  RefSeq"
"cal    Candida albicans                           RefSeq"
"ctp    Candida tropicalis                         RefSeq"
"cot    Candida orthopsilosis                      RefSeq"
"cdu    Candida dubliniensis                       RefSeq"
"cten Yamadazyma tenuis                            RefSeq"
"yli   Yarrowia lipolytica                        RefSeq"
"clu    Clavispora lusitaniae ATCC 42720           RefSeq"
"clus Clavispora lusitaniae CBS 6936               GenBank"
"caur Candida auris                                RefSeq"
"slb    Sugiyamaella lignohabitans                 RefSeq"
"pkz    Pichia kudriavzevii                        RefSeq"
"ncr    Neurospora crassa                          RefSeq"
"nte    Neurospora tetrasperma                     RefSeq"
"smp Sordaria macrospora                           RefSeq"
"pan    Podospora anserina                         RefSeq"
"ttt   Thermothielavioides terrestris             RefSeq"
"mtm Thermothelomyces thermophilus                 RefSeq"
"cthr   Chaetomium thermophilum                    RefSeq"
"mgr    Pyricularia oryzae                         RefSeq"
"tmn    Phaeoacremonium minimum                    RefSeq"
"ssck Sporothrix schenckii                         RefSeq"
"fgr    Fusarium graminearum                       RefSeq"
"fpu    Fusarium pseudograminearum                 RefSeq"
"fvr   Fusarium verticillioides                   RefSeq"
"fox    Fusarium oxysporum                         RefSeq"
"Sordariomycetes"
"nhe    Fusarium vanettenii                        RefSeq"
"tre    Trichoderma reesei QM6a                    RefSeq"
"Ascomycetes                             trr   Trichoderma reesei RUT C-30                GenBank"
"                                                 maw Metarhizium acridum                                  RefSeq"
"maj    Metarhizium robertsii                             RefSeq"
"cmt    Cordyceps militaris                               RefSeq"
"plj   Purpureocillium lilacinum                         RefSeq"
"val   Verticillium alfalfae                             RefSeq"
"vda    Verticillium dahliae                              RefSeq"
"cfj   Colletotrichum fioriniae                          GenBank"
""
"sapo Scedosporium apiospermum                            RefSeq"
"ela   Eutypa lata                                       GenBank"
"pfy   Pestalotiopsis fici                               RefSeq"
"ssl   Sclerotinia sclerotiorum                          RefSeq"
"bfu    Botrytis cinerea                                  RefSeq"
"Leotiomycetes           mbe Marssonina brunnea                                   RefSeq"
"psco Phialocephala scopiformis                           RefSeq"
"glz   Glarea lozoyensis                                 RefSeq"
"ani   Aspergillus nidulans                              RefSeq"
"afm    Aspergillus fumigatus                             RefSeq"
"Fungi                                             act   Aspergillus clavatus                              RefSeq"
"nfi   Aspergillus fischeri                              RefSeq"
"aor    Aspergillus oryzae                                RefSeq"
"ang    Aspergillus niger                                 RefSeq"
"afv   Aspergillus flavus                                RefSeq"
"pcs    Penicillium rubens                                RefSeq"
"pdp    Penicillium digitatum                             RefSeq"
"tmf    Talaromyces marneffei                             RefSeq"
"Eurotiomycetes"
"trg   Talaromyces rugulosus                             RefSeq"
"cim    Coccidioides immitis                              RefSeq"
"cpw Coccidioides posadasii                               RefSeq"
"pbl   Paracoccidioides lutzii Pb01                      RefSeq"
"pbn    Paracoccidioides brasiliensis                     RefSeq"
"ure    Uncinocarpus reesii                               RefSeq"
"abe    Trichophyton benhamiae                            RefSeq"
"tve   Trichophyton verrucosum                           RefSeq"
"aje   Histoplasma capsulatum                            RefSeq"
"bgh    Blastomyces gilchristii                           RefSeq"
"pno    Parastagonospora nodorum                          RefSeq"
"pte    Pyrenophora teres                                 GenBank"
"bze    Bipolaris zeicola                                 RefSeq"
"bsc    Bipolaris sorokiniana                             RefSeq"
"bor    Bipolaris oryzae                                  RefSeq"
"Dothideomycetes"
"aalt   Alternaria alternata                              RefSeq"
"ztr   Zymoseptoria tritici                              RefSeq"
"pfj   Pseudocercospora fijiensis                        RefSeq"
"bcom Baudoinia panamericana                              RefSeq"
"npa    Neofusicoccum parvum                              GenBank"
"Pezizomycetes            tml   Tuber melanosporum                                RefSeq"
"Schizosaccharomycetes   spo    Schizosaccharomyces pombe (fission yeast)         RefSeq"
"cne    Cryptococcus neoformans var. neoformans JEC21     RefSeq"
"cnb    Cryptococcus neoformans var. neoformans B-3501A   RefSeq"
"cgi   Cryptococcus gattii                               RefSeq"
"tms    Tremella mesenterica                              RefSeq"
"tasa Trichosporon asahii var. asahii                     RefSeq"
"ppl   Postia placenta                                   GenBank"
"tvs   Trametes versicolor                               RefSeq"
"dsq    Dichomitus squalens                               RefSeq"
"pco    Phanerochaete carnosa                             RefSeq"
"shs    Stereum hirsutum                                  RefSeq"
"hir   Heterobasidion irregulare                         RefSeq"
"psq    Punctularia strigosozonata                        RefSeq"
"adl   Auricularia subglabra                             GenBank"
"fme    Fomitiporia mediterranea                          RefSeq"
"gtr   Gloeophyllum trabeum                              RefSeq"
"lbc   Laccaria bicolor                                  RefSeq"
""
"Basidiomycetes                           mpr    Moniliophthora perniciosa                         GenBank"
"mrr    Moniliophthora roreri                             GenBank"
"cci   Coprinopsis cinerea                               RefSeq"
"scm Schizophyllum commune                                RefSeq"
"abp    Agaricus bisporus var. burnettii JB137-S8         RefSeq"
"abv    Agaricus bisporus var. bisporus H97               RefSeq"
"                                                  cput Coniophora puteana                                 RefSeq"
"sla   Serpula lacrymans                                RefSeq"
"wse Wallemia mellicola                                  RefSeq"
"wic   Wallemia ichthyophaga                            RefSeq"
"uma Ustilago maydis                                     RefSeq"
"pfp   Anthracocystis flocculosa                        RefSeq"
"mgl   Malassezia globosa                               RefSeq"
"mrt   Malassezia restricta                             RefSeq"
"msym Malassezia sympodialis                             RefSeq"
"pgr   Puccinia graminis                                RefSeq"
"mlr   Melampsora larici-populina                       RefSeq"
"ecu   Encephalitozoon cuniculi                         RefSeq"
